identifier,srp,srr,srz,replicate,protocol,organism,sample type,cell type,clone_individual,strain,genotype,construct,baseline_control_expt,treatment type,treatment,times,timecourse,library prep,spike in,notes,experimentally not usable,curator 1,curator 2,published,bibtex,author,year,last author,doi,single_paired,rcomp,other data,atac seq,rna seq,chip seq,three d,other seq,sample_id,sample_name,genetic_id,expt_id,raw_read_depth,raw_read_length,trim_read_depth,duplication_picard,single_map,multi_map,map_prop,rseqc_tags,rseqc_cds,cds_rpk,rseqc_five_utr,rseqc_three_utr,rseqc_intron,intron_rpk,exint_ratio,distinct_tenmillion_prop,genome_prop_cov,avg_fold_cov,samp_qc_score,samp_data_score
Orioli2016human,SRP064802,SRR2634654,SRR2634654,rep1,other,H. sapiens,cell line,IMR90,,,,,experimental,vehicle;treatment,DMSO;serum starvation,"-5,0,hr;-5,0,hr",False,random primed,None,neusRNA‐seq small tRNA incorporate EU,False,Marko,Chi,True,,Orioli,2016,Hernandez,10.1101/gr.201400.115,single,False,True,False,False,True,False,True,1313,SRR2634654,871,483,33205461,101,16979335,0.259481,665099,292909,0.0564,662602,20826,0.54,199090,27760,322854,0.24,2.2500000000000004,0.37683362000000004,0.014506796671601091,0.042719442474127275,5,5
Orioli2016human,SRP064802,SRR2634655,SRR2634655,rep2,other,H. sapiens,cell line,IMR90,,,,,experimental,vehicle;treatment,DMSO;serum starvation,"-5,0,hr;-5,0,hr",False,random primed,None,neusRNA‐seq small tRNA incorporate EU,False,Marko,Chi,True,,Orioli,2016,Hernandez,10.1101/gr.201400.115,single,False,True,False,False,True,False,True,1314,SRR2634655,871,483,33992580,101,17459233,0.307498,642731,237369,0.0504,582900,13910,0.36,149644,25557,313477,0.23,1.5652173913043477,0.22071964,0.0125109255108965,0.03519185529413524,5,5
Orioli2016human,SRP064802,SRR2634656,SRR2634656,rep3,other,H. sapiens,cell line,IMR90,,,,,experimental,vehicle;treatment,DMSO;serum starvation,"-5,0,hr;-5,0,hr",False,random primed,None,neusRNA‐seq small tRNA incorporate EU,False,Marko,Chi,True,,Orioli,2016,Hernandez,10.1101/gr.201400.115,single,False,True,False,False,True,False,True,1315,SRR2634656,871,483,32204495,101,15759186,0.146611,681331,94661,0.0492,452732,10989,0.29,34798,16426,323289,0.24,1.2083333333333333,0.33419535,0.014787006576368516,0.021808618394571697,5,5
Kantidakis2016mutation,SRP063847,SRR2432159,SRR2432159,rep1,GRO-seq,M. musculus,cell line,MEF,,,Mll2 fl/fl; tamoxifen-inducible Cre,,control,no treatment,,,False,ligation,None,,False,Marko,Daniel,True,Kantidakis2016mutation,Kantidakis,2016,Svejstrup,10.1101/gad.275453.115,single,True,True,False,False,True,False,False,1282,SRR2432159,1149,481,59564098,51,52616341,0.459612,40047037,2891011,0.8161,39851319,7838329,211.61,1521488,5201194,18497438,16.77,12.618366129994039,0.69125295,0.14312476650176106,0.8827173020670726,1,5
Kantidakis2016mutation,SRP063847,SRR2432160,SRR2432160,rep1,GRO-seq,M. musculus,cell line,MEF,,,Mll2 fl/fl; tamoxifen-inducible Cre,,experimental,treatment,hydroxytamoxifen(1 microM),"-24,0,hr",False,ligation,None,"when cells were treated with tamoxifen for 24 h, it resulted in the complete excision of MLL2 exons 3–5",False,Marko,Daniel,True,Kantidakis2016mutation,Kantidakis,2016,Svejstrup,10.1101/gad.275453.115,single,True,True,False,False,True,False,False,1283,SRR2432160,1149,481,57701175,51,51845090,0.452971,39646704,2639550,0.8156,39206920,7132609,192.56,1318886,5432600,18796768,17.05,11.293841642228738,0.69891285,0.1525960255503377,0.8647242531661614,1,5
Kantidakis2016mutation,SRP063847,SRR2432161,SRR2432161,rep2,GRO-seq,M. musculus,cell line,MEF,,,Mll2 fl/fl; tamoxifen-inducible Cre,,experimental,treatment,hydroxytamoxifen(1 microM),"-24,0,hr",False,ligation,None,"when cells were treated with tamoxifen for 24 h, it resulted in the complete excision of MLL2 exons 3–5",False,Marko,Daniel,True,Kantidakis2016mutation,Kantidakis,2016,Svejstrup,10.1101/gad.275453.115,single,True,True,False,False,True,False,False,1284,SRR2432161,1149,481,48123938,51,42570273,0.48021,32364028,2096281,0.8095,32102616,5924215,159.94,1322374,4213952,14183448,12.86,12.437013996889581,0.64921865,0.11779397043194896,0.6996999931843741,1,5
Kantidakis2016mutation,SRP063847,SRR2432162,SRR2432162,rep2,GRO-seq,M. musculus,cell line,MEF,,,Mll2 fl/fl; tamoxifen-inducible Cre,,control,no treatment,,,False,ligation,None,,False,Marko,Daniel,True,Kantidakis2016mutation,Kantidakis,2016,Svejstrup,10.1101/gad.275453.115,single,True,True,False,False,True,False,False,1285,SRR2432162,1149,481,82353763,51,75181649,0.39735,62936810,3449822,0.883,61535218,9790746,264.33,1881128,7763718,34252163,31.06,8.510302640051513,0.8070985,0.19360659003977093,1.3447240753317773,1,4
Busslinger2017cohesin,SRP067744,SRR3051599,SRR3051599,rep1,GRO-seq,M. musculus,cell line,MEF,,C57BL/6,tamoxifen-inducible Cre/+,,control,no treatment,,,False,ligation,None,,False,Marko,Gilson,True,Busslinger2017,Busslinger,2017,Peters,10.1038/nature22063,single,False,True,False,True,True,False,False,1324,SRR3051599,1152,493,21292333,18,15451726,0.349915,10629259,1046961,0.7556999999999999,10244001,555349,14.99,816706,937490,6261772,5.68,2.6390845070422535,0.67453215,0.07914055030252767,0.224231624617026,3,4
Busslinger2017cohesin,SRP067744,SRR3051600,SRR3051600,rep1,GRO-seq,M. musculus,cell line,MEF,,C57BL/6,tamoxifen-inducible Cre/+,,control,treatment,hydroxytamoxifen,"-300,-240,hr",False,ligation,None,,False,Marko,Gilson,True,Busslinger2017,Busslinger,2017,Peters,10.1038/nature22063,single,False,True,False,True,True,False,False,1325,SRR3051600,1152,493,32233553,18,28235660,0.378365,18156729,2015826,0.7143999999999999,17796347,854395,23.07,931333,1756891,11224372,10.18,2.2662082514734774,0.6989025,0.11726228051013574,0.3904455751676754,1,3
Busslinger2017cohesin,SRP067744,SRR3051601,SRR3051601,rep2,GRO-seq,M. musculus,cell line,MEF,,C57BL/6,,,control,no treatment,,,False,ligation,None,,False,Marko,Gilson,True,Busslinger2017,Busslinger,2017,Peters,10.1038/nature22063,single,False,True,False,True,True,False,False,1326,SRR3051601,1150,493,33496628,18,27271477,0.386417,24984279,875631,0.9481999999999999,22948849,1014413,27.39,1864785,1412281,15478751,14.04,1.950854700854701,0.76038375,0.12264106436218195,0.3948571721114797,1,2
Busslinger2017cohesin,SRP067744,SRR3051602,SRR3051602,rep1,GRO-seq,M. musculus,cell line,MEF,,C57BL/6,,,control,treatment,adeno-Cre virus(1 microL/million cells),"-244,-240,hr",False,ligation,None,,False,Marko,Gilson,True,Busslinger2017,Busslinger,2017,Peters,10.1038/nature22063,single,False,True,False,True,True,False,False,1327,SRR3051602,1150,493,35401839,18,27319779,0.330359,23550368,912508,0.8954000000000001,22085877,914619,24.69,907538,1454413,15855864,14.38,1.7169680111265646,0.8120939,0.13233704688765074,0.3568783053711771,1,2
Busslinger2017cohesin,SRP067744,SRR3051603,SRR3051603,rep3,GRO-seq,M. musculus,cell line,MEF,,C57BL/6,Ctcf fl/fl; WapI fl/fl,,experimental,no treatment,,,False,ligation,None,,False,Marko,Gilson,True,Busslinger2017,Busslinger,2017,Peters,10.1038/nature22063,single,False,True,False,True,True,False,False,1328,SRR3051603,1151,493,3869270,18,3554903,0.07686,1759343,189142,0.5481,1694383,84993,2.29,58511,106765,1214509,1.1,2.0818181818181816,0.8399978300000001,0.018441637750802722,0.023760209349287454,5,5
Busslinger2017cohesin,SRP067744,SRR3051604,SRR3051604,rep2,GRO-seq,M. musculus,cell line,MEF,,C57BL/6,Ctcf fl/fl; WapI fl/fl,,experimental,treatment,adeno-Cre virus(1 microL/million cells),"-244,-240,hr",True,ligation,None,,False,Marko,Gilson,True,Busslinger2017,Busslinger,2017,Peters,10.1038/nature22063,single,False,True,False,True,True,False,False,1329,SRR3051604,1151,493,2643145,18,2583942,0.199086,1310977,147344,0.5644,1173882,66057,1.78,106066,61027,729868,0.66,2.696969696969697,0.62795081,0.011856653361857919,0.017886695824042006,5,5
Busslinger2017cohesin,SRP067744,SRR3051605,SRR3051605,rep4,GRO-seq,M. musculus,cell line,MEF,,C57BL/6,Ctcf fl/fl; WapI fl/fl,,experimental,no treatment,,,False,ligation,None,,False,Marko,Gilson,True,Busslinger2017,Busslinger,2017,Peters,10.1038/nature22063,single,False,True,False,True,True,False,False,1330,SRR3051605,1151,493,3953254,18,3820395,0.125613,1895088,196656,0.5475,1812187,68252,1.84,65792,108475,1326794,1.2,1.5333333333333334,0.77158277,0.018328350483730913,0.025233491462678986,5,5
Busslinger2017cohesin,SRP067744,SRR3051606,SRR3051606,rep3,GRO-seq,M. musculus,cell line,MEF,,C57BL/6,Ctcf fl/fl; WapI fl/fl,,experimental,treatment,adeno-Cre virus(1 microL/million cells),"-244,-240,hr",True,ligation,None,,False,Marko,Gilson,True,Busslinger2017,Busslinger,2017,Peters,10.1038/nature22063,single,False,True,False,True,True,False,False,1331,SRR3051606,1151,493,1495526,18,1447803,0.221239,749185,87999,0.5782,672878,83137,2.24,69974,54106,349625,0.32,7.000000000000001,0.42316857,0.00661848431408629,0.010448250305764812,5,5
Busslinger2017cohesin,SRP067744,SRR3657419,SRR3657419,rep1,GRO-seq,M. musculus,cell line,MEF,,C57BL/6,Ctcf fl/fl; WapI fl/fl,,experimental,treatment;treatment,adeno-Cre virus(1 microL/million cells);DRB(100 microM),"-244,-240,hr;-210,0,min",True,ligation,None,,False,Marko,Gilson,True,Busslinger2017,Busslinger,2017,Peters,10.1038/nature22063,single,False,True,False,True,True,False,False,1430,SRR3657419,1151,493,26664321,18,3587015,0.55208,2706616,149952,0.7964,2223384,208263,5.62,585133,80768,974956,0.88,6.386363636363637,0.24772267,0.011308796807681971,0.04397822361347531,5,5
Busslinger2017cohesin,SRP067744,SRR3657420,SRR3657420,rep1,GRO-seq,M. musculus,cell line,MEF,,C57BL/6,Ctcf fl/fl; WapI fl/fl,,experimental,treatment;treatment,adeno-Cre virus(1 microL/million cells);DRB(100 microM),"-268,-264,hr;-1650,-1440,min",True,ligation,None,,False,Marko,Gilson,True,Busslinger2017,Busslinger,2017,Peters,10.1038/nature22063,single,False,True,False,True,True,False,False,1431,SRR3657420,1151,493,48197089,18,18255221,0.481798,15634352,697511,0.8946,13263817,714748,19.3,1901833,676519,7572987,6.87,2.8093158660844253,0.59693835,0.07303834398194634,0.25320776500394565,2,4
Teppo2016genome,SRP056802,SRR1950492,SRZ1950491,rep1,GRO-seq,H. sapiens,cell line,Nalm6,,,dox-inducible luciferase (stable),,control,treatment,doxycycline(500 ng/mL),"-24,0,hr",False,circularization,None,,False,Marko,Rutendo,True,,Teppo,2016,Lohi,10.1101/gr.193649.115,single,False,False,False,False,False,False,False,85,SRZ1950491,954,468,41452997,51,36738597,0.515571,18430222,15243618,0.9166,30563047,1409102,36.6,10874915,1371325,12504696,9.3,3.935483870967742,0.52816495,0.13130418409380507,1.4247784239794012,2,2
Teppo2016genome,SRP056802,SRR1950494,SRZ1950493,rep2,GRO-seq,H. sapiens,cell line,Nalm6,,,dox-inducible luciferase (stable),,control,treatment,doxycycline(500 ng/mL),"-24,0,hr",False,circularization,None,,False,Marko,Rutendo,True,,Teppo,2016,Lohi,10.1101/gr.193649.115,single,False,False,False,False,False,False,False,86,SRZ1950493,954,468,42161300,51,35468697,0.589529,17768037,15482798,0.9375,30691849,1320684,34.3,11304427,1498093,12230186,9.1,3.769230769230769,0.4938774,0.11753761011152956,1.4610194997649455,2,3
Teppo2016genome,SRP056802,SRR1950496,SRZ1950495,rep1,GRO-seq,H. sapiens,cell line,Nalm6,,,dox-inducible Etv6-Runx1 fusion (stable),,control,no treatment,,,True,circularization,None,,False,Marko,Rutendo,True,,Teppo,2016,Lohi,10.1101/gr.193649.115,single,False,False,False,False,False,False,False,87,SRZ1950495,952,468,36737609,51,26367294,0.54284,13813102,10702213,0.9298000000000001,22122736,970113,25.2,7733385,1134966,9207487,6.85,3.678832116788321,0.50225365,0.10543998847615077,1.0129357726109713,2,3
Teppo2016genome,SRP056802,SRR1950497,SRZ1950497,rep2,GRO-seq,H. sapiens,cell line,Nalm6,,,dox-inducible Etv6-Runx1 fusion (stable),,control,no treatment,,,True,circularization,None,,False,Marko,Rutendo,True,,Teppo,2016,Lohi,10.1101/gr.193649.115,single,False,False,False,False,False,False,False,88,SRZ1950497,952,468,38851351,51,33924599,0.677559,12839306,18847354,0.934,29500371,1020984,26.52,13857862,1129658,9343836,6.95,3.815827338129496,0.3671787,0.10146420687612917,1.6445869973908809,3,3
Teppo2016genome,SRP056802,SRR1950500,SRZ1950499,rep1,GRO-seq,H. sapiens,cell line,Nalm6,,,dox-inducible Etv6-Runx1 fusion (stable),,experimental,treatment,doxycycline(500 ng/mL),"-4,0,hr",True,circularization,None,,False,Marko,Rutendo,True,,Teppo,2016,Lohi,10.1101/gr.193649.115,single,False,False,False,False,False,False,False,89,SRZ1950499,952,468,42995613,51,37334662,0.55836,17674607,16920032,0.9266,31604822,1238200,32.16,12128123,1376134,12379819,9.21,3.4918566775244293,0.4863174,0.1309018150076415,1.5528506606134251,2,2
Teppo2016genome,SRP056802,SRR1950502,SRZ1950501,rep2,GRO-seq,H. sapiens,cell line,Nalm6,,,dox-inducible Etv6-Runx1 fusion (stable),,experimental,treatment,doxycycline(500 ng/mL),"-4,0,hr",True,circularization,None,,False,Marko,Rutendo,True,,Teppo,2016,Lohi,10.1101/gr.193649.115,single,False,False,False,False,False,False,False,90,SRZ1950501,952,468,39823659,51,33403322,0.569089,16149931,14779081,0.9259000000000001,28401786,1142355,29.67,10730843,1305885,11323394,8.42,3.52375296912114,0.48868605,0.11857180498498139,1.3686136134408968,2,3
Teppo2016genome,SRP056802,SRR1950503,SRZ1950503,rep1,GRO-seq,H. sapiens,cell line,Nalm6,,,dox-inducible Etv6-Runx1 fusion (stable),,experimental,treatment,doxycycline(500 ng/mL),"-12,0,hr",True,circularization,None,,False,Marko,Rutendo,True,,Teppo,2016,Lohi,10.1101/gr.193649.115,single,False,False,False,False,False,False,False,91,SRZ1950503,952,468,45552083,51,35586936,0.582243,16424130,16364220,0.9214,29903283,1291979,33.56,11700799,1241413,11258058,8.37,4.009557945041816,0.47025835,0.11898859056039877,1.4795438147597242,2,3
Teppo2016genome,SRP056802,SRR1950506,SRZ1950505,rep2,GRO-seq,H. sapiens,cell line,Nalm6,,,dox-inducible Etv6-Runx1 fusion (stable),,experimental,treatment,doxycycline(500 ng/mL),"-12,0,hr",True,circularization,None,,False,Marko,Rutendo,True,,Teppo,2016,Lohi,10.1101/gr.193649.115,single,False,False,False,False,False,False,False,92,SRZ1950505,952,468,44357333,51,39414213,0.636057,15644912,20826619,0.9253,33651693,1352956,35.14,15244576,1393371,10851744,8.07,4.354399008674101,0.403979,0.11510735906481477,1.8263068761443602,2,3
Teppo2016genome,SRP056802,SRR1950508,SRZ1950507,rep1,GRO-seq,H. sapiens,cell line,Nalm6,,,dox-inducible Etv6-Runx1 fusion (stable),,experimental,treatment,doxycycline(500 ng/mL),"-24,0,hr",True,circularization,None,,False,Marko,Rutendo,True,,Teppo,2016,Lohi,10.1101/gr.193649.115,single,False,False,False,False,False,False,False,93,SRZ1950507,952,468,44351890,51,36914982,0.514056,19092427,14710102,0.9157,30658503,1358446,35.29,10333730,1405938,13173800,9.8,3.601020408163265,0.5422021,0.1334138110001246,1.3920561067250872,2,2
Teppo2016genome,SRP056802,SRR1950510,SRZ1950509,rep2,GRO-seq,H. sapiens,cell line,Nalm6,,,dox-inducible Etv6-Runx1 fusion (stable),,experimental,treatment,doxycycline(500 ng/mL),"-24,0,hr",True,circularization,None,,False,Marko,Rutendo,True,,Teppo,2016,Lohi,10.1101/gr.193649.115,single,False,False,False,False,False,False,False,94,SRZ1950509,952,468,43378162,51,35413231,0.630147,14925095,18111677,0.9329000000000001,30571241,1272888,33.06,13306231,1341476,10537843,7.84,4.216836734693878,0.4201423,0.10914144160868566,1.6256803868855776,2,3
Teppo2016genome,SRP056802,SRR1950512,SRZ1950511,rep1,GRO-seq,H. sapiens,cell line,Nalm6,,,dox-inducible Etv6-Runx1 fusion R518Q (stable),,experimental,treatment,doxycycline(500 ng/mL),"-24,0,hr",True,circularization,None,,False,Marko,Rutendo,True,,Teppo,2016,Lohi,10.1101/gr.193649.115,single,False,False,False,False,False,False,False,95,SRZ1950511,953,468,34975950,51,31746938,0.516605,16211990,13376977,0.932,27040871,1249653,32.46,9633277,1239696,11087456,8.25,3.9345454545454546,0.52669575,0.12152457682974085,1.2668509536055856,2,2
Teppo2016genome,SRP056802,SRR1950513,SRZ1950513,rep2,GRO-seq,H. sapiens,cell line,Nalm6,,,dox-inducible Etv6-Runx1 fusion R518Q (stable),,experimental,treatment,doxycycline(500 ng/mL),"-24,0,hr",True,circularization,None,,False,Marko,Rutendo,True,,Teppo,2016,Lohi,10.1101/gr.193649.115,single,False,False,False,False,False,False,False,96,SRZ1950513,953,468,31311954,51,26289584,0.600665,11370368,12943648,0.9248999999999999,22496291,969820,25.19,9283649,978034,8128979,6.05,4.163636363636364,0.43712925,0.09380230801063748,1.1589638759719896,2,3
Kwak2013precise,SRP017121,SRR611827,SRZ611824,rep1,PRO-seq,D. melanogaster,cell line,S2,,,,,baseline,no treatment,,,False,ligation,None,,False,Daniel,Chi,True,,Kwak,2013,Lis,10.1126/science.1229386,single,True,False,False,False,False,False,False,251,SRZ611824,722,394,52352157,43,47558338,0.76663,17080147,15553495,0.6862,25425507,4852785,211.99,9913786,2792071,6115794,105.35,2.012244897959184,0.32350225,0.38104576233881465,26.980172923804698,3,1
Kwak2013precise,SRP017121,SRR611828,SRR611828,rep2,PRO-seq,D. melanogaster,cell line,S2,,,,,baseline,no treatment,,,False,ligation,None,,False,Daniel,Chi,True,,Kwak,2013,Lis,10.1126/science.1229386,single,True,False,False,False,False,False,False,1902,SRR611828,722,394,9254615,43,8327504,0.52533,3828912,1588294,0.6505,4523977,1089996,47.61,1427633,493310,1298356,22.36,2.1292486583184256,0.40796237,0.26228310448654935,3.342953451298951,4,1
Kwak2013precise,SRP017121,SRR611830,SRZ611829,rep1,PRO-cap,D. melanogaster,cell line,S2,,,,,baseline,no treatment,,,False,ligation,None,,False,Daniel,Chi,True,,Kwak,2013,Lis,10.1126/science.1229386,single,False,False,False,False,False,False,False,252,SRZ611829,722,393,47763844,44,43997846,0.886341,25067748,4371699,0.6690999999999999,26198394,2942140,128.52,18554223,900935,3053932,52.61,2.442881581448394,0.1618733,0.25819969583513497,13.549534943418932,4,1
Kwak2013precise,SRP017121,SRR611831,SRR611831,rep1,PRO-seq,D. melanogaster,organism,whole fly,,w1118,,,control,no treatment,,,False,ligation,None,,False,Daniel,Chi,True,,Kwak,2013,Lis,10.1126/science.1229386,single,True,False,False,False,False,False,False,1903,SRR611831,728,394,43550934,50,40098785,0.800806,27020590,6808963,0.8437,29653979,4861519,212.37,17712254,1467029,4683688,80.68,2.632250867625186,0.27089335,0.45553929065667603,18.57022578182127,4,1
Kwak2013precise,SRP017121,SRR611832,SRR611832,rep1,PRO-seq,D. melanogaster,organism,whole fly,,w1118,Hsp70 promoter 5bp insert,,experimental,no treatment,,,False,ligation,None,,False,Daniel,Chi,True,,Kwak,2013,Lis,10.1126/science.1229386,single,True,False,False,False,False,False,False,1904,SRR611832,730,394,41484479,50,37139722,0.868759,27075029,4462292,0.8492000000000001,28146909,2768120,120.92,20500033,919359,3291167,56.69,2.133004057152937,0.17864755,0.3524264523826385,14.437738949640432,4,1
Kwak2013precise,SRP017121,SRR611833,SRR611833,rep1,PRO-seq,D. melanogaster,organism,whole fly,,w1118,Hsp70 promoter 10bp insert,,experimental,no treatment,,,False,ligation,None,,False,Daniel,Chi,True,,Kwak,2013,Lis,10.1126/science.1229386,single,True,False,False,False,False,False,False,1905,SRR611833,729,394,42340080,50,37290172,0.87823,27491814,3892045,0.8416,28141277,2667663,116.53,20943950,840743,3073466,52.94,2.201171137136381,0.16876055,0.3298349661183785,13.330627985529702,4,1
Wang2014rna,SRP014688,SRR531826,SRR531826,rep1,PRO-seq,H. sapiens,cell line,B cell,individual GM12004,,,,baseline,no treatment,,,False,ligation,None,"paper repeatedly states that two pro-seq libraries were prepped, one in each lab, but the only full experiment list I could fine from GEO based on the inferred SRP says there are two GRO-seq libaries and one PRO-seq one.",False,Joe,Jacob,True,Wang2014rna,Wang,2014,Cheung,10.1016/j.celrep.2014.01.037,single,True,True,False,True,False,False,True,1682,SRR531826,769,385,78865125,100,77873871,0.816379,58163409,12505808,0.9075,63526480,4301808,111.74,11662046,3477420,35330315,26.28,4.251902587519026,0.38655245,0.0502358952329706,2.3819024227834085,4,4
